,G,Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Starters_Team,Bench_Team,Starters_Opp,Bench_Opp
0,1,20231025,MEM,W,111,104,1,0,1,NOP,2024,False,102.1,0.553,18.2,27.5,0.2,108.7,102.1,0.484,11.5,16.3,0.176,101.8,"['Herbert Jones', 'CJ McCollum', 'Brandon Ingram', 'Zion Williamson', 'Jonas Valančiūnas']","['Dyson Daniels', 'Larry Nance Jr.', 'Matt Ryan', 'Kira Lewis Jr.', 'Jordan Hawkins', 'Kaiser Gates', 'E.J. Liddell', 'Cody Zeller']","['Desmond Bane', 'Jaren Jackson Jr.', 'Xavier Tillman Sr.', 'Marcus Smart', 'Ziaire Williams']","['David Roddy', 'Derrick Rose', 'Luke Kennard', 'Jake LaRavia', 'Jacob Gilyard', 'GG Jackson II', 'John Konchar', 'Kenneth Lofton Jr.', 'Ja Morant', 'Vince Williams Jr.']"
1,2,20231028,NYK,W,96,87,2,0,2,NOP,2024,False,99.8,0.511,12.1,8.5,0.08,96.2,100.3,0.406,16.3,29.1,0.156,86.7,"['Brandon Ingram', 'CJ McCollum', 'Zion Williamson', 'Herbert Jones', 'Jonas Valančiūnas']","['Matt Ryan', 'Dyson Daniels', 'Jordan Hawkins', 'Larry Nance Jr.', 'Kira Lewis Jr.', 'Cody Zeller', 'E.J. Liddell']","['Julius Randle', 'Jalen Brunson', 'RJ Barrett', 'Mitchell Robinson', 'Quentin Grimes']","['Josh Hart', 'Donte DiVincenzo', 'Immanuel Quickley', 'Isaiah Hartenstein', 'Miles McBride', 'Jericho Sims', 'DaQuan Jeffries', 'Dylan Windler', 'Ryan Arcidiacono', 'Evan Fournier']"
2,3,20231030,GSW,L,102,130,2,1,-1,NOP,2024,False,98.5,0.462,9.5,24.6,0.172,103.6,99.0,0.597,12.3,45.7,0.133,131.3,"['Jordan Hawkins', 'CJ McCollum', 'Zion Williamson', 'Jonas Valančiūnas', 'Herbert Jones']","['Matt Ryan', 'Dyson Daniels', 'Larry Nance Jr.', 'Kira Lewis Jr.', 'Kaiser Gates', 'Cody Zeller', 'Brandon Ingram', 'E.J. Liddell']","['Stephen Curry', 'Kevon Looney', 'Draymond Green', 'Moses Moody', 'Andrew Wiggins']","['Chris Paul', 'Brandin Podziemski', 'Dario Šarić', 'Gary Payton II', 'Trayce Jackson-Davis', 'Lester Quinones', 'Cory Joseph', 'Jerome Robinson']"
3,4,20231101,OKC,W,110,106,3,1,1,NOP,2024,False,103.3,0.456,8.7,33.8,0.167,106.5,103.3,0.472,13.2,14.3,0.261,102.7,"['Jordan Hawkins', 'CJ McCollum', 'Zion Williamson', 'Herbert Jones', 'Jonas Valančiūnas']","['Dyson Daniels', 'Larry Nance Jr.', 'Matt Ryan', 'Kira Lewis Jr.', 'Cody Zeller', 'E.J. Liddell']","['Shai Gilgeous-Alexander', 'Jalen Williams', 'Chet Holmgren', 'Josh Giddey', 'Luguentz Dort']","['Cason Wallace', 'Isaiah Joe', 'Aaron Wiggins', 'Ousmane Dieng', 'Olivier Sarr', 'Lindy Waters III', 'Dāvis Bertāns', 'Tre Mann', 'Vasilije Micić', 'Aleksej Pokusevski']"
4,5,20231102,DET,W,125,116,4,1,2,NOP,2024,False,97.7,0.575,11.2,19.4,0.413,127.9,97.7,0.505,13.2,39.6,0.223,118.7,"['CJ McCollum', 'Matt Ryan', 'Herbert Jones', 'Jonas Valančiūnas', 'Jordan Hawkins']","['Dyson Daniels', 'Kira Lewis Jr.', 'Larry Nance Jr.', 'Dereon Seabron', 'E.J. Liddell', 'Zion Williamson', 'Cody Zeller']","['Killian Hayes', 'Isaiah Stewart', 'Cade Cunningham', 'Jalen Duren', 'Ausar Thompson']","['Joe Harris', 'Marcus Sasser', 'Jaden Ivey', 'Marvin Bagley III', 'Stanley Umude', 'Malcolm Cazalon', 'Jared Rhoden', 'James Wiseman']"
5,6,20231104,ATL,L,105,123,4,2,-1,NOP,2024,False,92.6,0.524,10.6,21.4,0.202,113.4,92.6,0.559,11.2,42.2,0.204,132.8,"['CJ McCollum', 'Herbert Jones', 'Zion Williamson', 'Brandon Ingram', 'Jonas Valančiūnas']","['Jordan Hawkins', 'Dyson Daniels', 'Matt Ryan', 'Larry Nance Jr.', 'Kira Lewis Jr.', 'E.J. Liddell', 'Cody Zeller']","['Trae Young', 'Dejounte Murray', 'Jalen Johnson', ""De'Andre Hunter"", 'Clint Capela']","['Saddiq Bey', 'Bogdan Bogdanović', 'Onyeka Okongwu', 'Garrison Mathews', 'Bruno Fernando', 'Trent Forrest', 'AJ Griffin', 'Mouhamed Gueye', 'Patty Mills']"
6,7,20231106,DEN,L,116,134,4,3,-2,NOP,2024,False,100.2,0.572,11.9,19.0,0.144,115.8,100.7,0.616,8.7,26.8,0.179,133.1,"['Jordan Hawkins', 'Zion Williamson', 'Brandon Ingram', 'Herbert Jones', 'Jonas Valančiūnas']","['Matt Ryan', 'Dyson Daniels', 'Larry Nance Jr.', 'Kira Lewis Jr.', 'Cody Zeller', 'E.J. Liddell', 'Dereon Seabron']","['Nikola Jokić', 'Aaron Gordon', 'Kentavious Caldwell-Pope', 'Michael Porter Jr.', 'Reggie Jackson']","['Julian Strawther', 'Peyton Watson', 'Christian Braun', 'Collin Gillespie', 'Zeke Nnaji', 'Jalen Pickett', 'Braxton Key', 'Hunter Tyson', 'Justin Holiday', 'DeAndre Jordan']"
7,8,20231108,MIN,L,101,122,4,4,-3,NOP,2024,False,102.3,0.43,14.2,21.6,0.226,98.7,103.3,0.64,16.3,21.6,0.207,118.1,"['Brandon Ingram', 'Dyson Daniels', 'Jordan Hawkins', 'Jeremiah Robinson-Earl', 'Jonas Valančiūnas']","['Matt Ryan', 'Kira Lewis Jr.', 'Larry Nance Jr.', 'Dereon Seabron', 'Cody Zeller', 'E.J. Liddell', 'Zion Williamson']","['Anthony Edwards', 'Rudy Gobert', 'Karl-Anthony Towns', 'Jaden McDaniels', 'Mike Conley']","['Kyle Anderson', 'Naz Reid', 'Shake Milton', 'Nickeil Alexander-Walker', 'Luka Garza', 'Troy Brown Jr.', 'Josh Minott', 'Daishen Nix']"
8,9,20231110,HOU,L,101,104,4,5,-4,NOP,2024,False,98.1,0.507,16.7,19.5,0.333,102.9,98.1,0.466,8.2,18.0,0.25,106.0,"['Jordan Hawkins', 'Dyson Daniels', 'Brandon Ingram', 'Zion Williamson', 'Jonas Valančiūnas']","['Matt Ryan', 'Larry Nance Jr.', 'Dereon Seabron', 'Jeremiah Robinson-Earl', 'Cody Zeller', 'Kira Lewis Jr.', 'Naji Marshall']","['Fred VanVleet', 'Jalen Green', 'Alperen Sengun', 'Jabari Smith Jr.', 'Dillon Brooks']","[""Jae'Sean Tate"", 'Jeff Green', 'Tari Eason', 'Aaron Holiday', 'Jock Landale', 'Reggie Bullock', 'Boban Marjanović', 'Jeenathan Williams']"
9,10,20231112,DAL,L,124,136,4,6,-5,NOP,2024,False,106.4,0.603,15.0,27.7,0.141,116.5,106.4,0.588,5.1,16.3,0.157,127.8,"['Dyson Daniels', 'Brandon Ingram', 'Jordan Hawkins', 'Zion Williamson', 'Jonas Valančiūnas']","['Matt Ryan', 'Jeremiah Robinson-Earl', 'Naji Marshall', 'Cody Zeller', 'Dereon Seabron', 'Kira Lewis Jr.', 'Larry Nance Jr.']","['Kyrie Irving', 'Luka Dončić', 'Dereck Lively II', 'Derrick Jones Jr.', 'Grant Williams']","['Tim Hardaway Jr.', 'Josh Green', 'Dwight Powell', 'Dante Exum', 'Jaden Hardy', 'Olivier-Maxence Prosper', 'Seth Curry', 'Richaun Holmes', 'Markieff Morris']"
