G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Team_Player15_Starters,Team_Player16_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters
1,20231025,NYK,W,108,104,1,0,W 1,BOS,2024,False,94.4,.558,12.8,18.9,.286,114.4,95.4,.464,9.2,30.4,.144,109.0,Jayson Tatum,Jaylen Brown,Kristaps Porziņģis,Jrue Holiday,Derrick White,Al Horford,Sam Hauser,Payton Pritchard,Luke Kornet,Dalano Banton,Oshae Brissett,Svi Mykhailiuk,Neemias Queta,Lamar Stevens,Jordan Walsh,Team Totals,RJ Barrett,Julius Randle,Jalen Brunson,Quentin Grimes,Mitchell Robinson,Immanuel Quickley,Isaiah Hartenstein,Josh Hart,Donte DiVincenzo,Ryan Arcidiacono,Evan Fournier,DaQuan Jeffries,Miles McBride,Jericho Sims,Dylan Windler,Team Totals
2,20231027,MIA,W,119,111,2,0,W 2,BOS,2024,False,99.3,.558,12.7,32.0,.137,119.8,99.3,.517,10.8,22.0,.213,111.7,Jayson Tatum,Jrue Holiday,Derrick White,Jaylen Brown,Kristaps Porziņģis,Al Horford,Oshae Brissett,Payton Pritchard,Sam Hauser,Dalano Banton,JD Davison,Luke Kornet,Svi Mykhailiuk,Lamar Stevens,Jordan Walsh,Team Totals,Tyler Herro,Bam Adebayo,Jimmy Butler,Kyle Lowry,Kevin Love,Duncan Robinson,Dru Smith,Jaime Jaquez Jr.,Thomas Bryant,Jamal Cain,R.J. Hampton,Nikola Jović,Caleb Martin,Orlando Robinson,Team Totals,
3,20231030,WAS,W,126,107,3,0,W 3,BOS,2024,False,102.3,.593,14.6,34.1,.049,123.2,101.8,.511,13.2,23.4,.207,105.1,Jaylen Brown,Jayson Tatum,Jrue Holiday,Kristaps Porziņģis,Derrick White,Sam Hauser,Payton Pritchard,Al Horford,Luke Kornet,Oshae Brissett,Dalano Banton,Lamar Stevens,Svi Mykhailiuk,Jordan Walsh,Team Totals,,Bilal Coulibaly,Tyus Jones,Kyle Kuzma,Jordan Poole,Deni Avdija,Corey Kispert,Danilo Gallinari,Johnny Davis,Eugene Omoruyi,Ryan Rollins,Delon Wright,Anthony Gill,Patrick Baldwin Jr.,Jared Butler,Mike Muscala,Team Totals
4,20231101,IND,W,155,104,4,0,W 4,BOS,2024,False,105.5,.674,10.8,32.4,.284,146.9,104.5,.480,7.8,14.8,.069,99.5,Kristaps Porziņģis,Derrick White,Jayson Tatum,Jaylen Brown,Jrue Holiday,Payton Pritchard,Oshae Brissett,Sam Hauser,Al Horford,Svi Mykhailiuk,Dalano Banton,Lamar Stevens,Luke Kornet,Team Totals,,,Obi Toppin,Myles Turner,Bruce Brown,Andrew Nembhard,Bennedict Mathurin,T.J. McConnell,Buddy Hield,Jordan Nwora,Isaiah Jackson,Aaron Nesmith,Ben Sheppard,Jarace Walker,Daniel Theis,Team Totals,,
5,20231104,BRK,W,124,114,5,0,W 5,BOS,2024,False,99.7,.561,9.7,23.8,.256,124.4,100.2,.515,5.3,20.0,.110,113.8,Jayson Tatum,Jrue Holiday,Jaylen Brown,Al Horford,Kristaps Porziņģis,Payton Pritchard,Sam Hauser,Luke Kornet,Oshae Brissett,Dalano Banton,Svi Mykhailiuk,Lamar Stevens,Team Totals,,,,Mikal Bridges,Cam Thomas,Royce O'Neale,Dorian Finney-Smith,Spencer Dinwiddie,Lonnie Walker IV,Day'Ron Sharpe,Dennis Smith Jr.,Trendon Watford,Armoni Brooks,Jalen Wilson,Harry Giles,Keon Johnson,Team Totals,,
6,20231106,MIN,L,109,114,5,1,L 1,BOS,2024,False,100.5,.451,14.4,22.0,.283,98.3,100.0,.594,20.0,15.0,.153,103.2,Jayson Tatum,Jrue Holiday,Jaylen Brown,Al Horford,Kristaps Porziņģis,Sam Hauser,Payton Pritchard,Luke Kornet,Lamar Stevens,Svi Mykhailiuk,Dalano Banton,Oshae Brissett,Team Totals,,,,Jaden McDaniels,Rudy Gobert,Anthony Edwards,Mike Conley,Karl-Anthony Towns,Kyle Anderson,Naz Reid,Nickeil Alexander-Walker,Jordan McLaughlin,Shake Milton,Troy Brown Jr.,Josh Minott,Daishen Nix,Team Totals,,
7,20231108,PHI,L,103,106,5,2,L 2,BOS,2024,False,99.9,.478,11.6,17.0,.176,103.1,100.4,.489,12.1,26.1,.137,105.6,Derrick White,Jayson Tatum,Jaylen Brown,Jrue Holiday,Kristaps Porziņģis,Al Horford,Sam Hauser,Payton Pritchard,Luke Kornet,Dalano Banton,Oshae Brissett,Svi Mykhailiuk,Lamar Stevens,Team Totals,,,Tyrese Maxey,Tobias Harris,Joel Embiid,De'Anthony Melton,Kelly Oubre Jr.,Nicolas Batum,Robert Covington,Patrick Beverley,Paul Reed,Furkan Korkmaz,Mo Bamba,Danuel House Jr.,KJ Martin,Marcus Morris,Jaden Springer,Team Totals
8,20231110,BRK,W,121,107,6,2,W 1,BOS,2024,False,93.6,.537,7.0,31.5,.213,129.2,94.1,.535,11.4,20.5,.188,113.7,Jayson Tatum,Jrue Holiday,Jaylen Brown,Derrick White,Kristaps Porziņģis,Payton Pritchard,Sam Hauser,Luke Kornet,Svi Mykhailiuk,Oshae Brissett,Dalano Banton,Lamar Stevens,Team Totals,,,,Mikal Bridges,Dorian Finney-Smith,Royce O'Neale,Cameron Johnson,Spencer Dinwiddie,Trendon Watford,Dennis Smith Jr.,Lonnie Walker IV,Armoni Brooks,Day'Ron Sharpe,Harry Giles,Ben Simmons,Team Totals,,,
9,20231111,TOR,W,117,94,7,2,W 2,BOS,2024,False,97.5,.634,12.4,14.3,.093,120.1,97.5,.440,8.4,14.6,.154,96.5,Jayson Tatum,Jaylen Brown,Jrue Holiday,Kristaps Porziņģis,Derrick White,Payton Pritchard,Al Horford,Sam Hauser,Luke Kornet,Dalano Banton,Oshae Brissett,Svi Mykhailiuk,Lamar Stevens,Team Totals,,,Scottie Barnes,Pascal Siakam,OG Anunoby,Dennis Schröder,Jakob Poeltl,Malachi Flynn,Chris Boucher,Precious Achiuwa,Gradey Dick,Otto Porter Jr.,Jalen McDaniels,Thaddeus Young,Garrett Temple,Team Totals,,
10,20231113,NYK,W,114,98,8,2,W 3,BOS,2024,False,84.2,.627,11.3,24.2,.190,135.3,86.2,.513,11.8,29.3,.215,113.6,Jayson Tatum,Jrue Holiday,Jaylen Brown,Kristaps Porziņģis,Derrick White,Al Horford,Sam Hauser,Payton Pritchard,Dalano Banton,Oshae Brissett,Luke Kornet,Svi Mykhailiuk,Lamar Stevens,Team Totals,,,Josh Hart,Jalen Brunson,Julius Randle,Mitchell Robinson,Quentin Grimes,Immanuel Quickley,Donte DiVincenzo,Isaiah Hartenstein,Miles McBride,Jericho Sims,Ryan Arcidiacono,RJ Barrett,DaQuan Jeffries,Team Totals,,
