Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,GmSc_Starters_Team,GmSc_Starters_Opp,GmSc_Bench_Team,GmSc_Bench_Opp
20240617,DAL,W,106,88,15,3,-1,BOS,True,92.2,0.51,11.3,15.43,0.18,106.77,91.9,0.55,12.43,24.23,0.18,114.47,11.92,11.37,2.8,2.91
20240614,DAL,L,84,122,15,2,10,BOS,True,91.9,0.55,11.1,20.1,0.18,115.4,91.9,0.55,12.43,24.23,0.18,114.47,14.88,11.01,3.18,1.94
20240612,DAL,W,106,99,14,2,9,BOS,True,92.93,0.54,12.0,24.03,0.17,113.73,91.9,0.55,12.43,24.23,0.18,114.47,15.28,12.89,2.17,2.11
20240609,DAL,W,105,98,13,2,8,BOS,True,93.63,0.56,11.37,22.17,0.17,116.03,91.9,0.55,12.43,24.23,0.18,114.47,16.53,12.17,3.12,2.91
20240606,DAL,W,107,89,12,2,10,BOS,True,93.93,0.57,10.57,25.8,0.19,122.43,91.9,0.55,12.43,24.23,0.18,114.47,18.11,14.63,3.19,3.44
20240530,MIN,W,124,103,11,5,-1,DAL,True,90.27,0.58,12.53,24.73,0.26,120.17,,,,,,,13.69,12.49,3.7,3.43
20240528,MIN,L,100,105,11,4,5,DAL,True,91.17,0.58,12.1,26.1,0.25,121.93,,,,,,,14.23,11.95,2.32,3.57
20240527,IND,W,105,102,11,2,6,BOS,True,96.37,0.58,10.5,26.33,0.23,124.87,92.77,0.54,10.07,25.33,0.18,117.3,19.49,10.65,2.54,3.41
20240526,MIN,W,116,107,10,4,4,DAL,True,90.73,0.55,10.33,31.1,0.21,121.83,,,,,,,13.41,12.83,3.39,3.19
20240525,IND,W,114,111,10,2,5,BOS,True,93.3,0.6,12.3,31.73,0.19,128.77,92.77,0.54,10.07,25.33,0.18,117.3,18.59,11.73,3.0,2.78
