Model,Mean,Lower Bound (95%),Upper Bound (95%)
AdaBoost,0.6546934339072326,0.653719249549505,0.6556676182649601
CatBoost,0.6582510920467198,0.6575862099346543,0.6589159741587853
ExtraTrees,0.6371449310655756,0.6368660443089665,0.6374238178221846
GBT,0.6291226041022973,0.6278421444150074,0.6304030637895871
KNN,0.5919016489413601,0.5913614223424052,0.592441875540315
LogisticRegression,0.637125300189881,0.6367659301815908,0.6374846701981712
NeuralNetwork,0.6299847561159233,0.6292788113068589,0.6306907009249877
RandomForest,0.6489172873903453,0.6487114456538008,0.6491231291268897
SVM,0.6030121284039757,0.6017785534801794,0.6042457033277719
XGBoost,0.6475001592714522,0.6466028026082251,0.6483975159346793
