Model,Mean,Lower Bound (95%),Upper Bound (95%)
AdaBoost,-40.94893344393318,-43.66103968805419,-38.23682719981217
CatBoost,-19.851592061348484,-19.86825386490538,-19.834930257791587
ExtraTrees,-19.446474834393292,-19.448800085056895,-19.44414958372969
GBT,-19.97665415838008,-19.991529358064074,-19.961778958696083
KNN,-20.831714284082455,-20.87965169866409,-20.78377686950082
Lasso,-20.02328997001583,-20.04263506315874,-20.00394487687292
LinearRegression,-124.02781812226488,-143.76573201207125,-104.28990423245851
NeuralNetwork,-3.676625253136545e+122,-6.280619823774422e+122,-1.0726306824986678e+122
RandomForest,-19.59014678994249,-19.59340117241383,-19.58689240747115
Ridge,-19.86109405981112,-19.864329863123288,-19.85785825649895
SVR,-20.058971742729057,-20.07241523455468,-20.045528250903434
XGBoost,-19.918509102819986,-19.943713580180695,-19.893304625459276
