Date,Opponent,Resultado,Tm,Opp,W,L,Streak,Team,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Starters_Team,Bench_Team,Starters_Opp,Bench_Opp,GmSc_Starters_Team,GmSc_Starters_Opp,GmSc_Bench_Team,GmSc_Bench_Opp,Previous_Tm,Previous_Opp,Previous_Streak
20240617,DAL,W,106,88,15,3,-1,BOS,True,92.2,0.51,11.3,15.43,0.18,106.77,91.9,0.55,12.43,24.23,0.18,114.47,"['Jayson Tatum', 'Jaylen Brown', 'Jrue Holiday', 'Derrick White', 'Al Horford']","['Sam Hauser', 'Kristaps Porziņģis', 'Luke Kornet', 'Payton Pritchard', 'Oshae Brissett', 'Svi Mykhailiuk', 'Neemias Queta', 'Jaden Springer', 'Xavier Tillman Sr.', 'Jordan Walsh']","['Luka Dončić', 'Kyrie Irving', 'P.J. Washington', 'Derrick Jones Jr.', 'Daniel Gafford']","['Dereck Lively II', 'Josh Green', 'Maxi Kleber', 'Dante Exum', 'Tim Hardaway Jr.', 'Jaden Hardy', 'A.J. Lawson', 'Dwight Powell', 'Olivier-Maxence Prosper', 'Markieff Morris']",11.92,11.37,2.8,2.91,98.3,106.3,
20240614,DAL,L,84,122,15,2,10,BOS,True,91.9,0.55,11.1,20.1,0.18,115.4,91.9,0.55,12.43,24.23,0.18,114.47,"['Derrick White', 'Jrue Holiday', 'Jaylen Brown', 'Jayson Tatum', 'Al Horford']","['Payton Pritchard', 'Sam Hauser', 'Oshae Brissett', 'Svi Mykhailiuk', 'Luke Kornet', 'Jaden Springer', 'Xavier Tillman Sr.', 'Neemias Queta', 'Jordan Walsh', 'Kristaps Porziņģis']","['Luka Dončić', 'Kyrie Irving', 'Derrick Jones Jr.', 'P.J. Washington', 'Daniel Gafford']","['Maxi Kleber', 'Dereck Lively II', 'Josh Green', 'Dante Exum', 'Jaden Hardy', 'Tim Hardaway Jr.', 'Markieff Morris', 'Dwight Powell', 'A.J. Lawson', 'Olivier-Maxence Prosper']",14.88,11.01,3.18,1.94,106.0,95.3,
20240612,DAL,W,106,99,14,2,9,BOS,True,92.93,0.54,12.0,24.03,0.17,113.73,91.9,0.55,12.43,24.23,0.18,114.47,"['Jayson Tatum', 'Derrick White', 'Jrue Holiday', 'Jaylen Brown', 'Al Horford']","['Sam Hauser', 'Xavier Tillman Sr.', 'Payton Pritchard', 'Oshae Brissett', 'Luke Kornet', 'Svi Mykhailiuk', 'Neemias Queta', 'Jaden Springer', 'Jordan Walsh']","['Kyrie Irving', 'P.J. Washington', 'Luka Dončić', 'Daniel Gafford', 'Derrick Jones Jr.']","['Dereck Lively II', 'Josh Green', 'Tim Hardaway Jr.', 'Maxi Kleber', 'Jaden Hardy', 'Dante Exum', 'A.J. Lawson', 'Markieff Morris', 'Dwight Powell', 'Olivier-Maxence Prosper']",15.28,12.89,2.17,2.11,116.7,99.0,
20240609,DAL,W,105,98,13,2,8,BOS,True,93.63,0.56,11.37,22.17,0.17,116.03,91.9,0.55,12.43,24.23,0.18,114.47,"['Jayson Tatum', 'Jaylen Brown', 'Jrue Holiday', 'Derrick White', 'Al Horford']","['Kristaps Porziņģis', 'Payton Pritchard', 'Sam Hauser', 'Oshae Brissett', 'Luke Kornet', 'Svi Mykhailiuk', 'Neemias Queta', 'Jaden Springer', 'Xavier Tillman Sr.', 'Jordan Walsh']","['Luka Dončić', 'Kyrie Irving', 'P.J. Washington', 'Derrick Jones Jr.', 'Daniel Gafford']","['Dereck Lively II', 'Maxi Kleber', 'Josh Green', 'Dante Exum', 'Jaden Hardy', 'Tim Hardaway Jr.', 'A.J. Lawson', 'Markieff Morris', 'Dwight Powell', 'Olivier-Maxence Prosper']",16.53,12.17,3.12,2.91,121.3,103.0,
20240606,DAL,W,107,89,12,2,10,BOS,True,93.93,0.57,10.57,25.8,0.19,122.43,91.9,0.55,12.43,24.23,0.18,114.47,"['Jayson Tatum', 'Jaylen Brown', 'Derrick White', 'Jrue Holiday', 'Al Horford']","['Kristaps Porziņģis', 'Sam Hauser', 'Payton Pritchard', 'Luke Kornet', 'Svi Mykhailiuk', 'Oshae Brissett', 'Neemias Queta', 'Jaden Springer', 'Xavier Tillman Sr.', 'Jordan Walsh']","['Luka Dončić', 'Kyrie Irving', 'P.J. Washington', 'Derrick Jones Jr.', 'Daniel Gafford']","['Josh Green', 'Maxi Kleber', 'Dereck Lively II', 'Jaden Hardy', 'Tim Hardaway Jr.', 'Dante Exum', 'Dwight Powell', 'A.J. Lawson', 'Markieff Morris', 'Olivier-Maxence Prosper']",18.11,14.63,3.19,3.44,127.0,105.0,
20240530,MIN,W,124,103,11,5,-1,DAL,True,90.27,0.58,12.53,24.73,0.26,120.17,,,,,,,"['Kyrie Irving', 'Luka Dončić', 'P.J. Washington', 'Derrick Jones Jr.', 'Daniel Gafford']","['Dereck Lively II', 'Josh Green', 'Dante Exum', 'Maxi Kleber', 'Jaden Hardy', 'Dwight Powell', 'A.J. Lawson', 'Tim Hardaway Jr.', 'Markieff Morris']","['Anthony Edwards', 'Karl-Anthony Towns', 'Rudy Gobert', 'Jaden McDaniels', 'Mike Conley']","['Kyle Anderson', 'Naz Reid', 'Nickeil Alexander-Walker', 'Jordan McLaughlin', 'Luka Garza', 'Wendell Moore Jr.', 'Leonard Miller', 'Josh Minott', 'Monte Morris', 'T.J. Warren']",13.69,12.49,3.7,3.43,108.3,106.7,
20240528,MIN,L,100,105,11,4,5,DAL,True,91.17,0.58,12.1,26.1,0.25,121.93,,,,,,,"['Kyrie Irving', 'P.J. Washington', 'Luka Dončić', 'Derrick Jones Jr.', 'Daniel Gafford']","['Josh Green', 'Maxi Kleber', 'Jaden Hardy', 'Dante Exum', 'Dwight Powell', 'Tim Hardaway Jr.', 'A.J. Lawson', 'Markieff Morris']","['Anthony Edwards', 'Rudy Gobert', 'Jaden McDaniels', 'Mike Conley', 'Karl-Anthony Towns']","['Kyle Anderson', 'Naz Reid', 'Nickeil Alexander-Walker', 'Luka Garza', 'Jordan McLaughlin', 'Leonard Miller', 'Josh Minott', 'Wendell Moore Jr.', 'Monte Morris', 'T.J. Warren']",14.23,11.95,2.32,3.57,111.0,106.7,
20240527,IND,W,105,102,11,2,6,BOS,True,96.37,0.58,10.5,26.33,0.23,124.87,92.77,0.54,10.07,25.33,0.18,117.3,"['Jaylen Brown', 'Jayson Tatum', 'Derrick White', 'Al Horford', 'Jrue Holiday']","['Sam Hauser', 'Payton Pritchard', 'Xavier Tillman Sr.', 'Oshae Brissett', 'Luke Kornet', 'Svi Mykhailiuk', 'Neemias Queta', 'Jaden Springer', 'Jordan Walsh']","['Pascal Siakam', 'Andrew Nembhard', 'Aaron Nesmith', 'Myles Turner', 'Ben Sheppard']","['Obi Toppin', 'T.J. McConnell', 'Doug McDermott', 'Isaiah Jackson', 'Kendall Brown', 'James Johnson', 'Jarace Walker']",19.49,10.65,2.54,3.41,124.3,116.3,
20240526,MIN,W,116,107,10,4,4,DAL,True,90.73,0.55,10.33,31.1,0.21,121.83,,,,,,,"['Kyrie Irving', 'Luka Dončić', 'P.J. Washington', 'Derrick Jones Jr.', 'Daniel Gafford']","['Josh Green', 'Jaden Hardy', 'Dereck Lively II', 'Dwight Powell', 'Dante Exum', 'Tim Hardaway Jr.', 'A.J. Lawson', 'Markieff Morris']","['Anthony Edwards', 'Karl-Anthony Towns', 'Jaden McDaniels', 'Mike Conley', 'Rudy Gobert']","['Naz Reid', 'Nickeil Alexander-Walker', 'Kyle Anderson', 'Luka Garza', 'Jordan McLaughlin', 'Leonard Miller', 'Josh Minott', 'Wendell Moore Jr.', 'Monte Morris', 'T.J. Warren']",13.41,12.83,3.39,3.19,101.3,111.3,
20240525,IND,W,114,111,10,2,5,BOS,True,93.3,0.6,12.3,31.73,0.19,128.77,92.77,0.54,10.07,25.33,0.18,117.3,"['Jayson Tatum', 'Jrue Holiday', 'Jaylen Brown', 'Derrick White', 'Al Horford']","['Payton Pritchard', 'Sam Hauser', 'Xavier Tillman Sr.', 'Oshae Brissett', 'Svi Mykhailiuk', 'Neemias Queta', 'Jaden Springer', 'Jordan Walsh']","['Andrew Nembhard', 'Myles Turner', 'Pascal Siakam', 'Aaron Nesmith', 'Ben Sheppard']","['T.J. McConnell', 'Obi Toppin', 'Isaiah Jackson', 'Doug McDermott', 'Kendall Brown', 'James Johnson', 'Jalen Smith', 'Jarace Walker']",18.59,11.73,3.0,2.78,129.3,120.7,
