Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp,PCA_Team_1,PCA_Team_2,PCA_Opp_1,PCA_Opp_2
14,W,111,104,0,0,17,False,1.0,111.0,125.9,13.85,10.36,3.69,5.53,3.506072188604106,-0.08121405290658287,3.5507355768524014,-0.5147576702083253
18,W,96,87,1,0,17,False,2.0,110.9,113.5,13.86,10.04,3.5,4.48,3.3512641370697036,-0.38131533264730366,3.439119950136136,-0.40447736307859966
9,L,102,130,2,2,17,False,-1.0,99.7,112.9,12.37,12.1,4.18,3.78,3.54041852306773,-0.5479519497974007,3.396517732934697,-0.28043593292658286
19,W,110,106,2,1,17,False,-2.0,111.9,111.4,11.66,13.52,3.76,4.07,3.9770564329084297,-0.5786076464808023,3.3535427196144663,-0.1293698560527859
8,W,125,116,3,1,17,False,1.0,109.2,96.6,9.88,8.92,5.72,5.39,3.784803244653679,-0.667144993578037,3.409175672030438,0.2551088167893605
0,L,105,123,4,3,17,False,3.0,107.9,108.1,15.7,12.76,4.34,5.1,3.391321941718291,-0.49426346549781364,3.604662339584088,-0.1720013671539274
7,L,116,134,4,4,17,False,1.0,113.1,114.8,11.96,14.25,3.44,3.2,3.2857252471401184,-0.6250394669078124,3.4430738761802195,-0.054467381734603686
17,L,101,122,4,5,17,False,-1.0,101.8,104.3,10.81,12.71,5.46,3.84,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
10,L,101,104,4,6,17,False,1.0,118.8,104.2,13.88,13.61,5.34,5.23,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
6,L,124,136,4,7,17,False,1.0,110.3,119.2,12.89,13.39,5.85,4.04,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
6,W,131,110,4,6,17,False,-5.0,112.3,109.5,11.64,13.39,6.92,4.27,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
7,W,115,110,5,6,17,False,-2.0,116.9,113.8,11.64,14.25,7.81,4.1,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
17,L,120,121,6,8,17,False,-3.0,109.0,109.6,11.03,13.28,6.85,5.1,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
24,W,129,93,6,7,17,False,-1.0,112.6,108.8,11.64,13.31,5.57,3.47,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
24,W,117,112,7,7,17,False,1.0,115.1,107.0,11.64,12.77,5.0,4.11,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
12,W,116,106,8,7,17,False,2.0,113.8,101.9,11.64,12.05,6.08,5.06,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
27,L,100,105,9,9,17,False,-2.0,105.6,109.7,11.03,4.92,6.47,5.83,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
27,L,112,114,9,10,17,False,-1.0,110.3,116.3,11.64,5.82,5.79,4.34,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
21,W,124,114,9,9,17,False,-2.0,104.5,117.0,13.45,9.62,6.34,7.04,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
25,W,121,106,10,9,17,False,2.0,116.8,100.6,13.24,8.86,7.55,5.35,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
3,L,118,124,11,11,17,False,3.0,117.0,119.4,11.64,8.89,5.13,4.09,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
24,W,127,117,11,10,17,False,2.0,123.2,105.1,13.24,13.31,6.98,3.48,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
13,L,89,133,12,12,17,False,-1.0,118.7,107.0,13.24,12.36,7.1,5.97,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
17,W,121,107,12,11,17,False,-1.0,110.1,116.0,13.24,8.45,7.21,4.92,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
28,W,142,122,13,11,17,False,-7.0,112.5,105.3,11.9,11.48,6.39,4.36,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
4,W,112,107,14,11,17,False,3.0,115.3,125.7,13.24,11.98,7.79,2.28,3.503373639089878,-0.5755531721787772,3.4712672790137713,-0.08524232866752063
