Tm,Opp,Resultado,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10
106,88,W,-1.216085995473689,-1.5224835776425163,0.9555340795198819,-1.363909766496351,-3.3311806902348056,-2.006936239039649,-0.7766005347425957,-1.6943303021936285,-1.7896964999792342,-0.04194940384275577
84,122,L,0.1476159209572213,-3.573161146348104,2.1017910473098027,-0.6398307191853583,-3.222297835460928,-1.5548190102900752,-0.7109264029762086,-1.5157908016641137,-1.3064281055903582,-0.005582096361376123
106,99,W,0.15627859421014367,-3.490212322756409,1.7808655374881794,-1.0549693346856615,-3.5957811006651297,-1.561837396143965,-0.841743216096518,-1.283474145012672,-1.004227527824869,0.2874474897951689
105,98,W,0.6465244124333347,-3.5160754162601617,1.7157757541033056,-1.014538224838316,-2.994965727981299,-1.7281096373114386,-0.35690948932993766,-1.2891817360806346,-1.4077208950352587,-0.17933096653842406
107,89,W,1.6366841229098865,-4.351264564031214,1.785496969309786,-0.9318936274260697,-3.076349413503365,-1.528139907582012,-0.1471796065897088,-0.7690082385325174,-1.2295412993883044,-0.020878163408276567
124,103,W,0.6054240376811674,-3.0020810277714096,0.9448996813670023,-2.1366752831002063,-1.6340926846642403,-0.019343841668180952,-0.6888332592437865,-0.34782437728834126,-0.03084750566241937,-0.8876129511253105
100,105,L,0.8854108075535693,-3.7471282712368272,1.6383765244004231,-1.9913902447907097,-1.8278862847783024,0.35844939664081343,-0.8121993153130885,-0.8938090437168145,0.29903002730089046,-0.6694606329614298
105,102,W,2.0646008669366243,-4.063756744183317,1.9823449501692143,-1.2084552012951628,-2.5584324888845833,-1.662993747283542,-0.27225494999119804,-1.0573787990978731,-0.4488092370285117,-1.3660098682604591
116,107,W,0.638542007164281,-3.446313343831506,1.3270603764448832,-1.8677113486997148,-2.6476207540984125,1.0987482774856399,-0.33282035606095217,0.17553242037454334,-0.43220163722859245,-0.7231936318564821
114,111,W,2.2875783937771623,-4.337443438559876,1.7115577535911553,-1.2363612301499545,-3.0544758453834975,-1.3965030574340085,-0.05496631558512647,-0.19549950431528093,-0.5084337942352526,-1.4732121875599828
109,108,W,0.9934778606824411,-3.7484562249006026,1.207157183614698,-1.8141116802424937,-2.280626209289166,0.6155940854532425,-0.6204236955175501,0.41827107652056617,-0.5649657501035061,-0.7226109939155818
126,110,W,1.9785066260812785,-3.829619497700516,1.034570958733477,-1.7476444794779302,-3.32442191439868,-1.9743766501547544,-0.7622903967795627,-0.007622505757531157,-0.3488251359807044,-0.9318314681522144
108,105,W,1.051663359706216,-3.6489518738734583,0.8151072273796037,-2.090090803048526,-2.33913365168089,0.4644757690495198,-0.5172878957869009,0.9736243457817918,-0.1431775857653496,-0.6769067294392436
133,128,W,1.5132100849091856,-3.726473998266339,1.2177722703622578,-1.5270918383191305,-3.7027257823534105,-1.527264629268646,-0.5587634224831037,-0.13602408491759393,-0.7841639380761116,-1.1970456724223897
109,130,L,-0.3498255022820384,-1.2286711232923992,0.5661875421956849,-1.4823485419450932,-4.790444653643936,-0.20143384054346566,0.9851731689008348,1.5230663306559962,-0.3003597161978124,-1.2524288763356974
90,98,L,-0.9476447434030645,-2.245733595955594,0.7450933246279305,-2.411546163319756,-2.5017351386666316,-0.30698553345083635,-2.0635474169122854,-0.8585108928656144,-1.1024757625936479,-0.33751379516464075
116,117,L,-1.6804256243381774,-1.7136160020203794,0.7089235409308963,-1.489210833295625,-4.344033671345524,-1.8888103988085654,0.08964644155624162,-0.5875055928969921,-0.5952990873180031,0.5008594845421781
103,116,L,-0.4218304566611562,-1.2664083851535186,0.5981861022011532,-1.4630935323402219,-4.332158399556532,-0.6566399443645847,0.7831776945457944,1.5893418995261424,-0.2268227855892875,-1.3724809417883115
70,115,L,1.2117626856376857,-4.4756179252608135,1.6266286521896753,-1.5890691881934997,-1.2673291574539725,-0.4956858644321879,-1.5077600683026968,-0.38172810625506415,-0.7765832741579828,-1.0134147961984201
92,104,L,-1.2100375977992908,-1.9177798053872708,0.693432945287631,-1.6188804701787167,-3.7292944238967407,-2.295675140591522,0.20021483236146986,-0.4696919755557097,-0.2152868176949514,0.41944463590405356
113,98,W,-0.26984981973216127,-2.5301098565433606,1.6970440048896638,-2.5837493601051738,-1.690491145245352,0.8372203382817622,1.5587562443823586,-2.429515339587959,-1.577179458455071,0.026514423735791024
121,91,W,0.1534567395620722,-1.3903824260985165,0.4605779814466281,-1.695388669796335,-3.5631066325534015,-1.1871192293431203,0.9618533444184167,1.1840052832670158,-0.10290323235618268,-1.6474588776919523
112,97,W,-0.43910769394110954,-2.9261077108295224,1.3805054317278587,-2.2333636346811216,-2.1845467652422697,0.2426747418726439,-1.0466796668789315,-0.7649133922666584,-0.41303525026009347,-0.8793429245060786
100,96,W,-0.6836676249027125,-2.107223887626108,0.36833336008406625,-1.5553505126883203,-3.287020582151784,-2.503460293368855,0.7238737154699061,0.5528219103939603,-0.23600556208751386,-0.02608132827277748
