Unnamed: 0,Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp,PCA_Team_1,PCA_Opp_1
0,14,W,111,104,0,0,17,False,1.0,116.7,126.3,0.0,0.0,0.0,0.0,3.622093237585799,3.468740389097909
1,18,W,96,87,1,0,17,False,2.0,107.0,108.0,0.0,0.0,0.0,0.0,3.3132366826244297,3.6088232780958407
2,9,L,102,130,2,2,17,False,-1.0,112.0,103.7,0.0,0.0,0.0,0.0,3.2175358569455845,3.4736342977275627
3,19,W,110,106,2,1,17,False,-2.0,105.7,111.0,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
4,8,W,125,116,3,1,17,False,1.0,110.3,103.0,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
5,0,L,105,123,4,3,17,False,3.0,118.0,114.3,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
6,7,L,116,134,4,4,17,False,1.0,106.0,103.0,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
7,17,L,101,122,4,5,17,False,-1.0,109.7,114.0,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
8,10,L,101,104,4,6,17,False,1.0,116.0,109.7,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
9,6,L,124,136,4,7,17,False,1.0,112.0,114.7,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
10,6,W,131,110,4,6,17,False,-5.0,114.3,117.7,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
11,7,W,115,110,5,6,17,False,-2.0,112.0,114.7,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
12,17,L,120,121,6,8,17,False,-3.0,103.7,115.3,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
13,24,W,129,93,6,7,17,False,-1.0,115.7,116.0,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
14,24,W,117,112,7,7,17,False,1.0,113.3,112.3,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
15,12,W,116,106,8,7,17,False,2.0,121.7,105.0,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
16,27,L,100,105,9,9,17,False,-2.0,116.7,125.0,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
17,27,L,112,114,9,10,17,False,-1.0,109.7,119.3,0.0,0.0,0.0,0.0,3.3624559279506405,3.538392820053987
