Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
14,W,111,104,0,0,17,False,102.68,0.47,18.8,29.2,0.16,95.62,102.68,0.54,14.43,23.08,0.14,107.6,1.0,112.2,126.5,14.18,7.21,3.78,5.73
18,W,96,87,1,0,17,False,100.81,0.53,14.98,21.65,0.12,103.82,100.81,0.59,12.62,21.35,0.2,120.45,2.0,105.2,105.7,16.62,10.46,3.48,3.91
9,L,102,130,2,2,17,False,100.37,0.5,14.43,21.88,0.1,99.34,100.37,0.58,12.71,18.46,0.18,116.98,-1.0,115.2,97.5,11.8,11.64,3.75,3.48
19,W,110,106,2,1,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-2.0,103.2,107.2,9.98,11.61,3.62,2.24
8,W,125,116,3,1,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,109.5,101.5,8.21,11.38,3.64,3.34
0,L,105,123,4,3,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,3.0,118.2,115.2,11.96,13.65,3.46,5.77
7,L,116,134,4,4,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,104.5,104.8,10.12,12.89,2.36,3.77
17,L,101,122,4,5,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,111.5,114.8,9.06,11.7,3.83,3.69
10,L,101,104,4,6,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,116.3,109.8,9.69,11.08,3.63,3.74
6,L,124,136,4,7,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,112.7,118.2,9.69,14.82,3.4,4.44
6,W,131,110,4,6,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-5.0,111.3,113.5,9.34,14.82,4.19,4.47
7,W,115,110,5,6,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-2.0,111.5,112.7,9.34,12.89,5.49,4.18
17,L,120,121,6,8,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-3.0,103.8,113.5,8.07,11.7,7.11,4.02
24,W,129,93,6,7,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,121.2,113.2,9.34,14.41,5.58,3.18
24,W,117,112,7,7,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,109.8,117.3,9.34,12.19,5.42,3.76
12,W,116,106,8,7,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,2.0,120.0,101.2,9.34,14.16,5.58,6.08
27,L,100,105,9,9,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-2.0,115.3,123.3,8.07,5.86,6.32,5.11
27,L,112,114,9,10,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,109.7,122.0,9.34,6.59,5.41,3.61
21,W,124,114,9,9,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-2.0,114.3,117.2,11.46,11.1,5.55,7.06
25,W,121,106,10,9,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,2.0,120.3,102.5,11.46,4.44,5.97,5.58
3,L,118,124,11,11,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,3.0,122.0,109.8,9.34,8.48,5.27,2.3
24,W,127,117,11,10,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,2.0,114.0,110.2,11.46,14.41,6.27,4.53
13,L,89,133,12,12,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,117.5,123.5,11.46,12.99,6.65,3.2
17,W,121,107,12,11,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,107.7,117.3,11.46,7.6,6.12,3.78
28,W,142,122,13,11,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-7.0,124.7,107.2,9.41,10.98,6.43,3.17
4,W,112,107,14,11,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,3.0,112.0,106.3,11.46,12.48,6.36,1.24
25,W,146,110,15,11,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,2.0,122.8,104.2,11.46,7.84,6.36,4.8
14,L,113,115,16,13,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,115.0,119.0,11.46,13.01,6.36,6.52
5,W,123,104,16,12,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,97.2,103.8,10.63,8.9,6.95,3.99
10,L,104,106,17,14,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-4.0,111.8,110.0,11.46,11.08,7.06,3.81
14,L,115,116,17,15,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,124.8,119.3,11.46,14.62,6.12,6.03
27,W,112,105,17,14,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-2.0,116.5,120.0,11.46,8.75,5.51,4.54
13,W,129,109,18,14,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,101.8,123.2,11.46,12.64,5.24,3.74
2,W,112,85,19,14,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,112.8,114.0,11.46,10.48,5.24,6.45
17,W,117,106,20,14,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,110.7,119.2,11.46,11.7,5.24,3.58
12,L,95,111,21,16,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,3.0,125.5,110.7,11.46,14.16,5.94,6.09
24,W,133,100,21,15,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,124.7,103.3,10.63,13.78,4.89,4.34
9,W,141,105,22,15,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,102.8,115.7,11.46,10.34,5.37,4.71
7,L,113,125,23,17,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,2.0,111.3,107.0,11.46,14.13,5.12,5.47
6,W,118,108,23,16,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,119.7,116.7,7.32,10.58,4.19,3.92
6,L,120,125,24,18,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,125.3,122.7,11.46,9.87,5.74,3.74
4,W,132,112,24,17,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,3.0,119.0,105.8,11.46,9.55,5.74,3.74
22,L,109,123,25,19,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-3.0,126.0,119.5,11.46,14.72,5.74,6.57
27,W,153,124,25,18,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,106.0,108.0,11.46,9.02,5.74,4.87
19,L,83,107,26,20,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,105.7,113.7,10.63,11.61,5.83,2.64
16,L,117,141,26,21,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-8.0,114.5,133.2,11.46,11.55,4.84,3.56
1,L,112,118,26,22,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,103.8,113.3,11.46,15.41,5.37,2.44
10,W,110,99,26,21,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,109.5,105.8,10.2,11.08,4.41,3.11
25,W,114,113,27,21,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,4.0,124.2,95.7,12.26,7.15,5.69,4.15
26,W,138,100,28,21,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-2.0,120.3,100.2,11.46,9.98,5.74,3.86
12,W,117,106,29,21,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,115.5,110.8,11.46,14.16,5.14,6.09
13,L,122,139,30,23,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,2.0,105.2,124.0,11.46,13.37,5.14,2.56
23,W,93,84,30,22,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,5.0,123.5,106.7,10.63,5.59,5.55,1.74
14,W,96,87,31,22,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-2.0,112.3,109.7,11.46,6.75,6.28,4.69
28,W,133,126,32,22,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,2.0,124.0,114.0,11.46,9.11,6.28,4.69
10,W,127,105,33,22,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,103.5,103.8,10.43,11.08,5.55,3.07
15,L,95,106,34,24,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-4.0,97.2,114.0,10.43,8.93,5.55,3.6
3,L,106,114,34,25,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,118.5,112.8,10.56,9.17,3.97,1.56
18,W,115,92,34,24,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,2.0,106.7,113.5,10.56,3.2,4.54,6.49
11,L,114,123,35,26,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,3.0,118.0,115.0,11.46,11.25,5.03,6.45
11,W,129,102,35,25,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,117.7,116.0,11.46,11.73,6.12,6.37
26,W,139,98,36,25,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,3.0,122.7,109.0,11.46,8.31,5.44,2.45
21,W,103,95,37,25,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,121.2,117.0,11.46,8.8,5.7,2.81
0,W,116,103,38,25,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,116.7,118.2,11.46,10.38,6.12,3.06
5,L,95,116,39,27,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,107.7,113.2,11.46,12.87,6.12,3.88
12,W,112,104,39,26,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,4.0,109.2,107.7,11.46,13.1,6.12,4.24
23,W,126,107,40,26,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,120.3,99.0,12.26,7.37,6.0,3.03
2,W,104,91,41,26,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,3.0,117.7,104.2,11.46,15.67,6.12,6.08
20,L,106,121,42,28,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-4.0,103.2,111.8,11.46,9.58,6.12,4.42
15,W,111,88,42,27,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,96.8,113.0,10.43,9.14,5.55,3.54
8,W,114,101,43,27,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,2.0,111.5,105.0,10.43,2.83,6.78,5.37
19,L,112,119,44,29,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,109.5,114.7,10.43,11.61,5.55,5.38
16,W,107,100,44,28,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-2.0,115.7,132.5,10.43,11.14,5.55,4.62
1,L,92,104,45,30,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-3.0,111.2,119.8,10.43,17.59,5.55,3.2
22,L,111,124,45,31,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,120.7,121.8,10.43,14.72,4.95,5.84
20,L,108,117,45,32,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,103.7,115.3,10.43,9.58,4.95,4.69
25,L,109,111,45,33,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,2.0,128.2,108.5,8.37,4.68,5.55,3.9
22,W,113,105,45,32,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-2.0,111.8,120.7,10.43,14.72,3.57,5.22
23,W,110,100,46,32,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,2.0,114.0,90.8,10.43,3.45,3.57,4.6
24,W,135,123,47,32,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,1.0,123.0,111.7,10.43,14.67,5.08,2.87
9,W,114,109,48,32,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,2.0,112.0,120.8,10.43,11.58,3.64,4.02
13,L,108,124,49,34,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,107.8,126.0,11.46,13.37,5.38,3.02
13,L,106,110,49,35,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,123.2,121.5,11.46,13.37,5.38,2.96
24,W,105,98,49,34,17,False,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,3.0,130.3,112.3,10.63,14.67,4.85,3.22
19,L,92,94,0,2,17,True,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,101.3,108.5,10.63,11.61,4.85,5.21
19,L,92,124,0,3,17,True,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-1.0,94.2,108.8,10.63,11.61,4.85,5.21
19,L,85,106,0,4,17,True,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-2.0,102.0,111.5,10.63,11.61,4.53,5.21
19,L,89,97,0,5,17,True,100.9,0.5,15.34,23.02,0.12,100.21,100.9,0.58,12.97,20.19,0.18,116.57,-3.0,90.8,106.0,10.63,11.61,4.85,5.21
1,L,104,108,0,2,18,False,101.87,0.52,10.67,19.8,0.15,109.6,101.87,0.49,13.5,22.15,0.22,103.43,9.0,118.2,111.3,10.68,16.38,3.91,2.59
0,W,126,120,0,1,18,False,100.73,0.59,11.6,15.17,0.14,116.53,100.73,0.5,15.13,22.62,0.16,101.64,3.0,118.2,107.7,8.86,13.5,4.31,3.62
5,W,109,91,1,2,18,False,102.91,0.57,12.65,15.66,0.16,111.66,102.91,0.5,13.49,23.13,0.16,104.07,3.0,101.2,86.3,9.91,16.18,3.19,0.85
5,L,89,95,2,4,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,1.0,104.5,93.3,7.77,14.3,3.97,4.32
16,L,105,110,2,5,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-1.0,106.2,114.3,7.77,11.14,3.08,5.1
12,W,111,97,2,4,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-3.0,116.5,108.8,9.91,16.71,3.12,4.78
25,W,126,105,3,4,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,3.0,113.3,107.7,9.91,6.25,3.12,4.95
4,W,129,107,4,4,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-1.0,124.8,118.2,9.91,12.16,2.99,2.04
1,L,98,114,5,6,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-1.0,115.5,108.0,7.77,17.59,4.29,2.34
0,W,116,114,5,5,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,1.0,123.7,123.2,7.77,13.65,3.24,5.58
28,W,120,99,6,5,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,4.0,110.5,112.5,8.17,10.98,4.4,5.03
4,W,122,108,7,5,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,3.0,117.0,106.2,10.31,12.16,2.67,5.72
17,L,100,117,8,7,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-1.0,117.3,115.0,9.91,11.7,2.95,3.96
15,W,100,98,8,6,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-1.0,103.2,104.8,9.91,8.3,3.33,3.09
22,L,113,116,9,8,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,2.0,105.7,110.0,9.91,12.46,3.33,5.69
4,W,115,91,9,7,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,3.0,115.8,109.7,9.91,14.18,3.33,3.65
8,W,118,112,10,7,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,3.0,126.7,110.0,9.91,10.3,3.33,7.03
26,W,119,106,11,7,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-4.0,115.7,115.8,9.91,11.33,3.33,3.01
16,L,122,146,12,9,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-2.0,104.7,109.8,9.91,11.14,2.41,2.7
1,L,123,133,12,10,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-1.0,116.5,119.5,10.31,17.59,3.11,2.64
26,W,136,130,12,9,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,3.0,119.0,120.8,7.79,11.33,2.79,3.38
27,L,113,117,13,11,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,1.0,106.8,111.0,7.79,10.36,3.43,2.23
22,W,139,122,13,10,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-1.0,100.3,105.0,7.79,14.72,3.34,4.57
12,L,122,144,14,12,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,1.0,114.2,118.5,7.79,14.16,3.34,4.58
13,W,114,109,14,11,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,1.0,117.2,122.0,7.79,12.99,3.08,3.34
2,W,121,102,15,11,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,7.0,122.5,116.0,8.86,12.88,2.75,5.5
16,L,111,130,16,13,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-1.0,108.8,116.5,8.86,11.14,2.3,3.56
16,W,129,122,16,12,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-1.0,111.7,125.3,8.86,11.14,2.17,3.56
19,L,120,129,17,14,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,1.0,128.0,131.7,8.86,11.61,2.36,3.25
20,L,108,117,17,15,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-3.0,109.2,102.2,8.86,7.98,2.36,4.45
11,L,126,140,17,16,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-2.0,128.2,123.0,6.72,11.72,1.19,6.07
17,W,112,106,17,15,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-1.0,121.3,119.7,7.71,11.7,2.39,3.58
3,W,116,100,18,15,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-2.0,121.5,110.0,7.71,8.35,2.89,2.31
21,W,128,92,19,15,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-1.0,110.0,111.7,7.71,18.01,2.77,1.39
28,W,121,105,20,15,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,2.0,116.8,107.3,7.71,10.98,2.77,4.75
23,W,112,84,21,15,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,2.0,127.5,110.8,7.71,6.98,3.06,4.5
6,L,124,128,22,17,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-4.0,107.0,99.8,7.71,10.58,2.76,3.85
14,W,106,94,22,16,18,False,102.01,0.57,11.97,16.19,0.15,112.94,102.01,0.5,14.04,22.8,0.17,103.15,-2.0,114.8,118.5,5.6,5.17,3.93,6.92
