Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
14,W,111,104,0,0,17,False,103.38,0.45,20.19,31.81,0.18,93.18,103.38,0.52,15.06,23.96,0.12,103.44,1.0,110.1,127.4,13.38,7.51,3.99,5.13
18,W,96,87,1,0,17,False,100.81,0.54,14.88,21.05,0.13,105.71,100.81,0.6,12.47,22.07,0.21,122.37,2.0,103.9,102.6,17.04,10.03,3.67,3.87
9,L,102,130,2,2,17,False,100.02,0.5,13.79,20.89,0.09,99.6,100.02,0.59,12.48,17.66,0.19,118.08,-1.0,118.4,92.8,12.11,11.74,3.93,3.66
19,W,110,106,2,1,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-2.0,102.1,104.5,9.71,10.67,4.42,2.1
8,W,125,116,3,1,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,109.4,100.8,8.27,11.8,3.88,3.49
0,L,105,123,4,3,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,3.0,118.1,115.1,11.7,13.77,4.07,6.31
7,L,116,134,4,4,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,102.9,104.8,10.06,12.61,2.82,4.34
17,L,101,122,4,5,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-1.0,113.4,115.6,9.85,11.63,4.01,3.66
10,L,101,104,4,6,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,116.9,109.6,9.98,11.29,3.97,3.73
6,L,124,136,4,7,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,1.0,113.6,120.9,9.98,15.27,3.7,4.51
6,W,131,110,4,6,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-5.0,109.3,111.4,9.23,15.27,4.49,4.6
7,W,115,110,5,6,17,False,100.49,0.51,14.56,21.72,0.11,100.89,100.49,0.59,12.66,19.37,0.19,118.26,-2.0,111.5,113.1,9.23,12.61,5.91,4.82
