Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
14,W,111,104,0,0,17,False,98.53,0.49,15.18,27.53,0.15,102.46,98.53,0.48,11.56,26.96,0.17,105.92,1.0,113.0,124.8,16.44,3.35,-12.78,-1.51
18,W,96,87,1,0,17,False,101.06,0.49,17.64,29.84,0.18,100.56,101.06,0.5,12.52,21.86,0.18,105.43,2.0,109.9,112.6,15.93,8.15,-7.83,-12.7
9,L,102,130,2,2,17,False,101.82,0.48,17.7,27.93,0.15,97.58,101.82,0.54,13.69,22.55,0.15,108.95,-1.0,112.1,109.7,9.57,6.75,-5.34,-7.58
19,W,110,106,2,1,17,False,100.62,0.51,15.36,23.46,0.13,102.68,100.62,0.57,12.53,21.56,0.19,116.49,-2.0,110.4,109.9,9.11,10.91,-9.93,-13.9
8,W,125,116,3,1,17,False,100.34,0.49,15.2,24.19,0.12,99.67,100.34,0.56,12.59,19.97,0.18,113.24,1.0,109.3,98.1,4.87,9.07,-8.66,-12.05
0,L,105,123,4,3,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,3.0,110.5,109.9,14.74,13.61,-6.83,-11.04
7,L,116,134,4,4,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,117.4,116.2,10.69,7.8,-13.88,-16.38
17,L,101,122,4,5,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,110.7,115.9,3.22,13.71,-11.27,-11.78
10,L,101,104,4,6,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,121.6,107.2,7.43,15.29,-10.51,-12.42
6,L,124,136,4,7,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,114.5,118.5,7.43,13.13,-10.83,-11.51
6,W,131,110,4,6,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-5.0,113.4,116.3,8.52,13.13,-9.75,-11.56
7,W,115,110,5,6,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-2.0,111.1,106.8,8.52,7.8,-8.21,-15.45
17,L,120,121,6,8,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-3.0,115.9,118.5,5.05,12.95,-6.35,-10.9
24,W,129,93,6,7,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,122.9,106.0,8.52,13.78,-9.59,-13.81
24,W,117,112,7,7,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,121.2,111.0,8.52,9.56,-9.5,-13.3
12,W,116,106,8,7,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,2.0,109.3,107.1,8.52,12.6,-9.74,-6.86
27,L,100,105,9,9,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-2.0,113.9,111.7,5.05,-8.93,-7.53,-7.16
27,L,112,114,9,10,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,117.5,111.3,8.52,-5.1,-9.49,-5.55
21,W,124,114,9,9,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-2.0,107.4,117.1,13.91,4.67,-8.58,-8.87
25,W,121,106,10,9,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,2.0,120.2,104.7,13.91,-2.46,-5.53,-9.7
3,L,118,124,11,11,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,3.0,118.0,117.1,8.52,4.87,-10.3,-16.9
24,W,127,117,11,10,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,2.0,119.7,111.5,13.91,13.78,-6.25,-12.5
13,L,89,133,12,12,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,116.2,118.4,13.91,13.25,-6.38,-10.42
17,W,121,107,12,11,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,109.9,115.9,13.91,0.52,-6.89,-11.73
28,W,142,122,13,11,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-7.0,114.8,106.3,9.7,3.81,-7.18,-13.77
4,W,112,107,14,11,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,3.0,115.2,120.6,13.91,10.72,-5.03,-15.34
25,W,146,110,15,11,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,2.0,123.3,104.7,13.91,6.3,-5.03,-8.51
14,L,113,115,16,13,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,113.3,116.8,13.91,10.34,-5.03,-4.75
5,W,123,104,16,12,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,101.5,103.9,12.71,-1.65,-4.18,-13.85
10,L,104,106,17,14,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-4.0,116.1,108.1,13.91,15.29,-3.82,-14.86
14,L,115,116,17,15,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,113.9,122.7,13.91,16.43,-6.12,-5.91
27,W,112,105,17,14,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-2.0,113.6,120.9,13.91,3.01,-7.51,-11.15
13,W,129,109,18,14,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,114.7,122.9,13.91,8.27,-8.92,-6.12
2,W,112,85,19,14,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,112.5,116.4,13.91,8.78,-8.92,-7.04
17,W,117,106,20,14,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,107.1,114.8,13.91,12.95,-8.92,-12.8
12,L,95,111,21,16,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,3.0,115.1,102.2,13.91,12.6,-5.82,-6.5
24,W,133,100,21,15,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,113.3,114.6,12.71,12.37,-10.74,-10.53
9,W,141,105,22,15,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,113.3,103.4,13.91,5.29,-7.94,-10.61
7,L,113,125,23,17,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,2.0,107.3,108.3,13.91,11.96,-7.53,-13.7
6,W,118,108,23,16,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,115.1,118.6,1.54,4.26,-11.36,-12.85
6,L,120,125,24,18,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,115.6,114.3,13.91,4.59,-5.02,-13.75
4,W,132,112,24,17,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,3.0,115.1,117.9,13.91,7.14,-5.02,-14.23
22,L,109,123,25,19,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-3.0,116.3,119.2,13.91,14.78,-5.02,-7.63
27,W,153,124,25,18,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,110.1,118.7,13.91,0.68,-5.02,-7.84
19,L,83,107,26,20,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,112.4,113.8,12.71,12.06,-7.3,-13.74
16,L,117,141,26,21,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-8.0,115.1,124.7,13.91,7.6,-9.63,-15.7
1,L,112,118,26,22,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,99.1,109.6,13.91,16.71,-7.97,-15.5
10,W,110,99,26,21,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,113.3,108.7,10.88,15.29,-11.48,-16.21
25,W,114,113,27,21,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,4.0,122.3,102.5,15.09,2.52,-6.62,-12.22
26,W,138,100,28,21,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-2.0,112.6,102.1,13.91,7.93,-5.02,-11.83
12,W,117,106,29,21,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,118.5,104.0,13.91,12.6,-6.42,-6.5
13,L,122,139,30,23,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,2.0,112.9,123.6,13.91,15.44,-6.42,-14.48
23,W,93,84,30,22,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,5.0,117.1,102.3,12.71,1.82,-7.67,-16.06
14,W,96,87,31,22,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-2.0,115.4,117.5,13.91,-2.98,-5.69,-8.81
28,W,133,126,32,22,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,2.0,116.8,107.8,13.91,0.66,-5.69,-13.91
10,W,127,105,33,22,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,109.9,108.1,12.93,15.29,-7.67,-15.32
15,L,95,106,34,24,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-4.0,97.5,113.6,12.93,7.92,-7.67,-9.9
3,L,106,114,34,25,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,118.3,116.9,11.53,3.88,-11.48,-18.62
18,W,115,92,34,24,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,2.0,108.9,110.7,11.53,-12.5,-8.72,-5.08
11,L,114,123,35,26,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,3.0,108.4,113.4,13.91,9.82,-5.69,-11.84
11,W,129,102,35,25,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,109.6,113.5,13.91,10.67,-5.33,-12.52
26,W,139,98,36,25,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,3.0,114.7,102.6,13.91,1.78,-5.33,-14.89
21,W,103,95,37,25,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,109.3,117.0,13.91,3.01,-3.86,-16.35
0,W,116,103,38,25,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,110.9,111.1,13.91,2.64,-5.33,-16.71
5,L,95,116,39,27,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,103.1,104.7,13.91,9.55,-5.33,-13.62
12,W,112,104,39,26,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,4.0,119.9,110.1,13.91,11.94,-5.33,-12.02
23,W,126,107,40,26,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,112.1,104.3,15.09,-4.59,-5.31,-15.39
2,W,104,91,41,26,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,3.0,112.4,113.7,13.91,13.11,-5.33,-6.13
20,L,106,121,42,28,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-4.0,105.9,108.7,13.91,5.81,-5.33,-11.27
15,W,111,88,42,27,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,97.3,112.7,12.93,4.61,-7.67,-10.24
8,W,114,101,43,27,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,2.0,110.5,99.9,12.93,-14.88,-6.28,-9.23
19,L,112,119,44,29,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,103.7,108.5,12.93,12.06,-7.67,-8.6
16,W,107,100,44,28,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-2.0,115.1,126.6,12.93,7.56,-7.67,-11.32
1,L,92,104,45,30,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-3.0,101.0,111.1,12.93,20.85,-7.29,-10.18
22,L,111,124,45,31,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,119.4,121.3,12.93,14.78,-9.52,-8.21
20,L,108,117,45,32,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,105.3,109.6,12.93,5.81,-9.52,-10.28
25,L,109,111,45,33,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,2.0,125.0,104.8,8.72,-5.75,-8.85,-6.89
22,W,113,105,45,32,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-2.0,121.8,120.3,12.93,14.78,-11.75,-9.24
23,W,110,100,46,32,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,2.0,119.8,102.3,12.93,-10.89,-11.75,-12.27
24,W,135,123,47,32,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,1.0,117.9,109.8,12.93,11.97,-8.93,-15.06
9,W,114,109,48,32,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,2.0,113.9,104.8,12.93,5.51,-11.8,-13.24
13,L,108,124,49,34,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,105.9,123.2,13.91,15.44,-7.18,-11.93
13,L,106,110,49,35,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,109.0,125.1,13.91,15.44,-7.18,-9.72
24,W,105,98,49,34,17,False,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,3.0,126.3,105.8,12.71,11.97,-9.2,-12.36
19,L,92,94,0,2,17,True,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,104.0,112.9,12.71,12.06,-9.2,-8.25
19,L,92,124,0,3,17,True,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-1.0,106.3,112.8,12.71,12.06,-9.2,-8.25
19,L,85,106,0,4,17,True,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-2.0,99.6,108.5,12.71,12.06,-8.92,-8.25
19,L,89,97,0,5,17,True,100.69,0.49,16.07,25.72,0.14,100.36,100.69,0.55,12.72,21.63,0.18,111.72,-3.0,93.9,109.8,12.71,12.06,-9.2,-8.25
1,L,104,108,0,2,18,False,96.32,0.53,12.01,24.91,0.16,113.57,96.32,0.5,11.57,20.01,0.22,106.92,9.0,103.7,113.0,6.05,19.3,-12.54,-16.07
0,W,126,120,0,1,18,False,98.04,0.54,11.94,23.75,0.15,114.49,98.04,0.5,13.71,23.79,0.21,105.28,3.0,110.7,111.9,7.64,13.57,-12.79,-10.98
5,W,109,91,1,2,18,False,101.05,0.54,11.21,19.95,0.15,111.1,101.05,0.49,13.48,22.37,0.21,103.9,3.0,98.1,95.4,6.48,12.23,-12.93,-12.66
5,L,89,95,2,4,18,False,100.19,0.58,11.8,17.38,0.14,115.42,100.19,0.5,14.44,22.66,0.18,102.92,1.0,98.2,94.1,4.39,10.33,-11.42,-12.8
16,L,105,110,2,5,18,False,101.32,0.56,12.45,18.32,0.16,112.2,101.32,0.5,13.28,22.96,0.18,104.69,-1.0,103.6,115.9,4.43,8.09,-13.89,-10.44
12,W,111,97,2,4,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-3.0,113.9,106.1,8.32,21.25,-12.94,-10.39
25,W,126,105,3,4,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,3.0,116.4,108.2,8.85,5.05,-12.94,-10.86
4,W,129,107,4,4,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-1.0,120.7,115.9,8.85,9.98,-13.04,-13.5
1,L,98,114,5,6,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-1.0,117.5,118.7,4.43,20.85,-10.7,-14.32
0,W,116,114,5,5,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,1.0,112.6,110.3,4.43,13.61,-12.89,-10.27
28,W,120,99,6,5,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,4.0,112.1,104.5,4.45,3.81,-10.05,-12.18
4,W,122,108,7,5,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,3.0,120.5,119.1,8.87,9.98,-14.65,-7.53
17,L,100,117,8,7,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-1.0,108.8,104.2,8.85,12.95,-13.44,-11.41
15,W,100,98,8,6,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-1.0,101.2,104.9,8.85,4.84,-12.01,-12.18
22,L,113,116,9,8,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,2.0,102.2,113.2,8.85,6.83,-12.01,-10.44
4,W,115,91,9,7,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,3.0,123.3,114.7,8.85,13.84,-12.01,-10.71
8,W,118,112,10,7,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,3.0,120.0,106.3,8.85,6.4,-12.01,-5.33
26,W,119,106,11,7,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-4.0,109.5,107.8,8.85,13.59,-12.01,-13.69
16,L,122,146,12,9,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-2.0,106.7,116.7,8.85,7.56,-12.88,-14.22
1,L,123,133,12,10,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-1.0,115.7,111.9,8.87,20.85,-12.02,-14.79
26,W,136,130,12,9,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,3.0,112.8,114.8,3.73,13.59,-13.06,-13.73
27,L,113,117,13,11,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,1.0,105.7,111.8,3.73,0.07,-10.51,-10.34
22,W,139,122,13,10,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-1.0,102.9,112.0,3.73,14.78,-11.74,-12.93
12,L,122,144,14,12,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,1.0,113.3,106.2,3.73,12.6,-11.79,-11.37
13,W,114,109,14,11,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,1.0,112.7,113.2,3.73,13.25,-11.82,-10.53
2,W,121,102,15,11,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,7.0,104.3,112.9,6.96,11.58,-12.33,-7.73
16,L,111,130,16,13,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-1.0,107.0,115.3,6.96,7.56,-10.78,-15.7
16,W,129,122,16,12,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-1.0,107.5,116.1,6.96,7.56,-12.29,-15.7
19,L,120,129,17,14,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,1.0,108.8,117.0,6.96,12.06,-10.78,-12.2
20,L,108,117,17,15,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-3.0,107.8,99.0,6.96,2.64,-10.78,-9.31
11,L,126,140,17,16,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-2.0,115.0,108.8,2.55,6.72,-18.41,-9.58
17,W,112,106,17,15,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-1.0,109.9,107.1,5.47,12.95,-16.35,-12.8
3,W,116,100,18,15,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-2.0,116.0,111.4,5.47,-0.08,-14.03,-17.84
21,W,128,92,19,15,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-1.0,108.3,113.4,5.47,18.76,-14.39,-18.29
28,W,121,105,20,15,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,2.0,112.1,109.9,5.47,3.81,-14.39,-12.5
23,W,112,84,21,15,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,2.0,117.7,111.3,5.47,2.71,-13.58,-10.11
6,L,124,128,22,17,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-4.0,107.4,93.9,5.47,4.26,-14.84,-13.08
14,W,106,94,22,16,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-2.0,112.1,119.1,-2.73,-7.32,-10.29,-1.77
20,L,94,98,23,18,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-2.0,111.7,98.7,-2.73,-8.36,-8.46,-4.65
10,W,109,94,23,17,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,1.0,112.5,99.6,5.47,15.29,-13.58,-14.71
28,W,113,109,24,17,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,4.0,113.3,109.7,5.47,4.8,-14.91,-12.89
26,W,126,100,25,17,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,1.0,117.7,116.6,5.47,6.8,-14.21,-9.76
2,W,108,103,26,17,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,2.0,110.8,113.6,2.24,8.78,-12.8,-2.12
7,W,122,84,27,17,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,3.0,106.9,116.4,2.24,11.96,-12.8,-14.0
15,W,125,109,28,17,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,1.0,96.9,104.0,5.47,16.14,-14.21,-8.14
4,W,113,92,29,17,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,1.0,118.1,105.7,-1.06,5.38,-15.71,-17.33
27,W,118,103,30,17,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-1.0,107.4,112.5,-1.06,0.68,-20.91,-7.84
11,W,109,105,31,17,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,-3.0,122.2,119.4,-1.06,11.91,-21.24,-12.19
13,L,105,113,32,19,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,1.0,113.1,113.3,-1.06,15.44,-21.24,-13.09
14,W,123,113,32,18,18,False,100.19,0.56,11.93,19.56,0.15,113.24,100.19,0.5,13.57,22.68,0.19,104.29,1.0,112.3,117.7,-1.06,-11.94,-20.83,-9.56
