Opponent,Resultado,Tm,Opp,W,L,Team,Is_Playoffs,Previous_Team_Pace,Previous_Team_eFG%,Previous_Team_TOV%,Previous_Team_ORB%,Previous_Team_FT/FGA,Previous_Team_ORtg,Previous_Opponent_Pace,Previous_Opponent_eFG%,Previous_Opponent_TOV%,Previous_Opponent_ORB%,Previous_Opponent_FT/FGA,Previous_Opponent_ORtg,Previous_Streak,Previous_Tm,Previous_Opp,Score_Starters_Team,Score_Starters_Opp,Score_Bench_Team,Score_Bench_Opp
14,W,111,104,0,0,17,False,99.5,0.49,15.5,26.5,0.14,101.48,99.5,0.51,12.08,24.32,0.17,108.86,1.0,115.4,124.4,14.52,9.26,2.67,6.36
18,W,96,87,1,0,17,False,100.8,0.49,16.74,27.62,0.15,100.5,100.8,0.52,12.58,21.68,0.18,108.71,2.0,109.5,111.8,14.24,10.74,3.53,3.96
9,L,102,130,2,2,17,False,101.12,0.49,16.67,26.48,0.14,99.04,101.12,0.54,13.15,22.1,0.17,110.69,-1.0,111.4,108.8,11.77,11.84,4.53,3.43
19,W,110,106,2,1,17,False,100.38,0.51,15.36,24.14,0.13,101.86,100.38,0.55,12.46,21.62,0.19,114.51,-2.0,110.0,111.8,11.77,13.18,3.02,3.29
8,W,125,116,3,1,17,False,100.22,0.49,15.37,24.87,0.12,100.1,100.22,0.54,12.49,20.94,0.18,112.11,1.0,110.0,100.5,8.96,10.15,4.29,4.28
0,L,105,123,4,3,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,3.0,113.2,111.2,14.71,14.18,3.88,5.04
7,L,116,134,4,4,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,1.0,113.8,110.6,12.22,11.43,3.26,3.06
17,L,101,122,4,5,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,-1.0,110.6,115.4,9.16,12.96,4.6,4.36
10,L,101,104,4,6,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,1.0,119.4,108.0,10.58,12.86,4.71,4.4
6,L,124,136,4,7,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,1.0,113.4,116.0,10.58,14.37,4.66,4.5
6,W,131,110,4,6,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,-5.0,114.6,118.2,11.51,14.37,4.34,4.53
7,W,115,110,5,6,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,-2.0,111.0,109.8,11.51,11.43,5.03,3.51
17,L,120,121,6,8,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,-3.0,111.6,117.8,9.34,12.4,6.53,4.7
24,W,129,93,6,7,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,-1.0,119.0,110.4,11.51,13.28,4.83,3.61
24,W,117,112,7,7,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,1.0,119.8,110.0,11.51,12.07,4.82,3.92
12,W,116,106,8,7,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,2.0,114.0,107.0,11.51,13.75,4.65,5.56
27,L,100,105,9,9,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,-2.0,115.6,116.0,9.34,5.3,6.11,6.32
27,L,112,114,9,10,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,-1.0,114.8,114.0,11.51,6.58,4.8,4.47
21,W,124,114,9,9,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,-2.0,110.5,117.5,14.09,10.27,5.0,5.5
25,W,121,106,10,9,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,2.0,120.8,102.6,14.09,6.58,6.13,6.02
3,L,118,124,11,11,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,3.0,119.2,114.5,11.51,9.1,4.51,3.06
24,W,127,117,11,10,17,False,100.4,0.49,15.93,25.92,0.14,100.6,100.4,0.53,12.55,22.13,0.18,110.98,2.0,118.6,110.6,14.09,13.28,6.1,4.08
