G,Date,Opponent,Unnamed: 7,Tm,Opp,W,L,Streak,Team,Year,Is_Playoffs,Team_Pace,Team_eFG%,Team_TOV%,Team_ORB%,Team_FT/FGA,Team_ORtg,Opponent_Pace,Opponent_eFG%,Opponent_TOV%,Opponent_ORB%,Opponent_FT/FGA,Opponent_ORtg,Team_Player1_Starters,Team_Player2_Starters,Team_Player3_Starters,Team_Player4_Starters,Team_Player5_Starters,Team_Player6_Starters,Team_Player7_Starters,Team_Player8_Starters,Team_Player9_Starters,Team_Player10_Starters,Team_Player11_Starters,Team_Player12_Starters,Team_Player13_Starters,Team_Player14_Starters,Team_Player15_Starters,Opponent_Player1_Starters,Opponent_Player2_Starters,Opponent_Player3_Starters,Opponent_Player4_Starters,Opponent_Player5_Starters,Opponent_Player6_Starters,Opponent_Player7_Starters,Opponent_Player8_Starters,Opponent_Player9_Starters,Opponent_Player10_Starters,Opponent_Player11_Starters,Opponent_Player12_Starters,Opponent_Player13_Starters,Opponent_Player14_Starters,Opponent_Player15_Starters,Opponent_Player16_Starters,Team_Player16_Starters,Team_Player17_Starters,Opponent_Player17_Starters
1,20201223,TOR,W,113,99,1,0,W 1,NOP,2021,False,106.0,.644,23.3,22.2,.125,106.6,106.0,.506,18.2,15.9,.101,93.4,Brandon Ingram,Eric Bledsoe,Steven Adams,Zion Williamson,Lonzo Ball,JJ Redick,Josh Hart,Nicolò Melli,Jaxson Hayes,Nickeil Alexander-Walker,Willy Hernangómez,Kira Lewis Jr.,Naji Marshall,Sindarius Thornwell,Team Totals,Pascal Siakam,Kyle Lowry,OG Anunoby,Fred VanVleet,Aron Baynes,Norman Powell,Matt Thomas,Chris Boucher,DeAndre' Bembry,Terence Davis,Malachi Flynn,Stanley Johnson,Alex Len,Yuta Watanabe,Paul Watson,Team Totals,,,
2,20201225,MIA,L,98,111,1,1,L 1,NOP,2021,False,96.8,.462,17.0,26.2,.333,101.3,96.8,.613,16.6,11.8,.253,114.7,Zion Williamson,Brandon Ingram,Lonzo Ball,Eric Bledsoe,Steven Adams,Josh Hart,JJ Redick,Nicolò Melli,Jaxson Hayes,Nickeil Alexander-Walker,Willy Hernangómez,Kira Lewis Jr.,Naji Marshall,Sindarius Thornwell,Team Totals,Tyler Herro,Duncan Robinson,Bam Adebayo,Meyers Leonard,Jimmy Butler,Avery Bradley,Goran Dragić,Andre Iguodala,Precious Achiuwa,Maurice Harkless,KZ Okpala,Chris Silva,Udonis Haslem,Kendrick Nunn,Kelly Olynyk,Team Totals,,,
3,20201227,SAS,W,98,95,2,1,W 1,NOP,2021,False,100.9,.410,7.0,23.2,.223,97.2,100.9,.489,14.0,8.5,.090,94.2,Zion Williamson,Lonzo Ball,Brandon Ingram,Steven Adams,Eric Bledsoe,Josh Hart,JJ Redick,Jaxson Hayes,Nickeil Alexander-Walker,Willy Hernangómez,Kira Lewis Jr.,Naji Marshall,Nicolò Melli,Sindarius Thornwell,Team Totals,Lonnie Walker IV,DeMar DeRozan,Dejounte Murray,Keldon Johnson,LaMarcus Aldridge,Rudy Gay,Jakob Poeltl,Patty Mills,Devin Vassell,Trey Lyles,Keita Bates-Diop,Drew Eubanks,Tre Jones,Luka Šamanić,Team Totals,,,,
4,20201229,PHO,L,86,111,2,2,L 1,NOP,2021,False,92.4,.500,17.5,18.4,.117,93.1,92.4,.554,11.5,26.1,.214,120.1,Zion Williamson,Brandon Ingram,Eric Bledsoe,Steven Adams,Lonzo Ball,Josh Hart,Nickeil Alexander-Walker,JJ Redick,Nicolò Melli,Jaxson Hayes,Kira Lewis Jr.,Sindarius Thornwell,Willy Hernangómez,Naji Marshall,Team Totals,Mikal Bridges,Deandre Ayton,Devin Booker,Chris Paul,Jae Crowder,Cameron Payne,Cameron Johnson,Jevon Carter,Dario Šarić,Langston Galloway,Frank Kaminsky,Damian Jones,E'Twaun Moore,Ty-Shon Alexander,Jalen Smith,Team Totals,,,
5,20201231,OKC,W,113,80,3,2,W 1,NOP,2021,False,97.1,.555,11.6,29.8,.132,116.3,97.1,.469,18.0,13.7,.063,82.4,Lonzo Ball,Steven Adams,Brandon Ingram,Eric Bledsoe,Zion Williamson,Josh Hart,Nickeil Alexander-Walker,JJ Redick,Nicolò Melli,Jaxson Hayes,Kira Lewis Jr.,Sindarius Thornwell,Willy Hernangómez,Naji Marshall,Team Totals,Shai Gilgeous-Alexander,Darius Bazley,Al Horford,George Hill,Luguentz Dort,Théo Maledon,Aleksej Pokusevski,Isaiah Roby,Hamidou Diallo,Mike Muscala,Josh Hall,Kenrich Williams,Moses Brown,Justin Jackson,Darius Miller,Team Totals,,,
6,20210102,TOR,W,120,116,4,2,W 2,NOP,2021,False,99.0,.506,11.1,31.8,.434,121.3,99.0,.495,8.9,21.7,.286,117.2,Brandon Ingram,Lonzo Ball,Zion Williamson,Steven Adams,Eric Bledsoe,Josh Hart,JJ Redick,Jaxson Hayes,Nickeil Alexander-Walker,Nicolò Melli,Willy Hernangómez,Kira Lewis Jr.,Will Magnay,Naji Marshall,Team Totals,Fred VanVleet,Kyle Lowry,OG Anunoby,Pascal Siakam,Aron Baynes,Chris Boucher,Norman Powell,Stanley Johnson,Alex Len,Terence Davis,DeAndre' Bembry,Malachi Flynn,Matt Thomas,Yuta Watanabe,Paul Watson,Team Totals,,,
7,20210104,IND,L,116,118,4,3,L 1,NOP,2021,False,98.2,.480,13.9,30.2,.188,107.0,98.2,.586,12.4,10.9,.097,108.9,Brandon Ingram,Lonzo Ball,Zion Williamson,Eric Bledsoe,Steven Adams,JJ Redick,Josh Hart,Jaxson Hayes,Nickeil Alexander-Walker,Wenyen Gabriel,Willy Hernangómez,Kira Lewis Jr.,Will Magnay,Naji Marshall,Nicolò Melli,Malcolm Brogdon,Victor Oladipo,Domantas Sabonis,Myles Turner,Aaron Holiday,Justin Holiday,Doug McDermott,T.J. McConnell,JaKarr Sampson,Jalen Lecque,Kelan Martin,Cassius Stanley,Edmond Sumner,Team Totals,,,Team Totals,,
8,20210106,OKC,L,110,111,4,4,L 2,NOP,2021,False,103.1,.517,13.1,20.9,.202,106.7,103.1,.569,13.0,8.5,.138,107.6,Brandon Ingram,Lonzo Ball,Steven Adams,Zion Williamson,Eric Bledsoe,Josh Hart,Nickeil Alexander-Walker,Jaxson Hayes,JJ Redick,Wenyen Gabriel,Willy Hernangómez,Kira Lewis Jr.,Will Magnay,Naji Marshall,Nicolò Melli,Shai Gilgeous-Alexander,Darius Bazley,Luguentz Dort,George Hill,Al Horford,Mike Muscala,Hamidou Diallo,Théo Maledon,Kenrich Williams,Isaiah Roby,Moses Brown,Josh Hall,Justin Jackson,Darius Miller,Team Totals,,Team Totals,,
9,20210108,CHO,L,110,118,4,5,L 3,NOP,2021,False,94.5,.591,17.7,25.6,.247,116.4,94.5,.563,13.3,38.1,.230,124.9,Lonzo Ball,Brandon Ingram,Steven Adams,Zion Williamson,Eric Bledsoe,Josh Hart,JJ Redick,Nickeil Alexander-Walker,Jaxson Hayes,Nicolò Melli,Wenyen Gabriel,Willy Hernangómez,Kira Lewis Jr.,Naji Marshall,Sindarius Thornwell,Gordon Hayward,Devonte' Graham,Terry Rozier,P.J. Washington,Bismack Biyombo,Miles Bridges,LaMelo Ball,Caleb Martin,Cody Martin,Vernon Carey Jr.,Jalen McDaniels,Malik Monk,Nick Richards,Team Totals,,,Team Totals,,
10,20210113,LAC,L,106,111,4,6,L 4,NOP,2021,False,91.9,.534,10.4,26.7,.136,115.3,91.9,.595,10.4,7.7,.311,120.7,Brandon Ingram,Josh Hart,Nickeil Alexander-Walker,Steven Adams,Sindarius Thornwell,JJ Redick,Nicolò Melli,Jaxson Hayes,Kira Lewis Jr.,Wenyen Gabriel,Willy Hernangómez,Will Magnay,Naji Marshall,Team Totals,,Kawhi Leonard,Paul George,Patrick Beverley,Nicolas Batum,Serge Ibaka,Ivica Zubac,Luke Kennard,Marcus Morris,Lou Williams,Reggie Jackson,Mfiondu Kabengele,Terance Mann,Daniel Oturu,Patrick Patterson,Team Totals,,,,
